,client_id,birth_number,client_district_id,birthear,birth_day,birth_month,client_gender,client_age,age_group,disp_id,account_id,disp_type,account_district_id,frequency,account_date,account_date_opened,frequency_statment,accountear,account_month,account_day,loan_id,date,loan_amount,loan_duration,monthly_loan_payment,loan_status,num_days_since_loan_acquired,client_id,account_id_disp,disp_type,card_id,card_type,issued,card_issued_date,district_id,district_name,region,no_of_inhabitants,no._of_municipalities_with_inhabitants_<_499,no._of_municipalities_with_inhabitants_500-1999,no._of_municipalities_with_inhabitants_2000-9999,no._of_municipalities_with_inhabitants_>10000,no._of_cities,ratio_of_urban_inhabitants,average_salary,"unemploymant_rate_""95""","unemploymant_rate_""96""",no._of_enterpreneurs_per_1000_inhabitants,"no._of_commited_crimes_""95""","no._of_commited_crimes_""96""",trans_balance,trans_freq_total,trans_amount,trans_freq_first_3_years,trans_freq_last_3_years,trans_freq_credit,trans_freq_withdraw,trans_last_in_days,order_SUM_amount,order_count,order_bank_Is_AB,order_bank_Is_CD,order_bank_Is_EF,order_bank_Is_GH,order_bank_Is_IJ,order_bank_Is_KL,order_bank_Is_MN,order_bank_Is_OP,order_bank_Is_QR,order_bank_Is_ST,order_bank_Is_UV,order_bank_Is_WX,order_bank_Is_YZ,order_k_Is_LEASING,order_k_Is_POJISTNE,order_k_IS_SIPO,order_k_Is_UVER
10,1382,796123,18,1979,23,11,F,20,20,1382,1149,OWNER,18,POPLATEK MESICNE,1995-09-07,979,MONTHLY,1995,09,07,,,,,,,,1382,1149,OWNER,228.0,junior,1998-03-15,1899.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,35393.91720430108,93,3632.5236559139767,,93,58,35,9 days 00:00:00.000000000,,,,,,,,,,,,,,,,,,,
11,1410,440203,18,1944,3,2,M,55,50,1410,1171,OWNER,18,POPLATEK MESICNE,1997-12-20,1814,MONTHLY,1997,12,20,,,,,,,,1410,1171,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,37380.27037037037,54,7352.583333333333,,54,27,27,1 days 00:00:00.000000000,7893.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1411,395806,18,1939,6,8,F,60,60,1411,1171,DISPONENT,18,POPLATEK MESICNE,1997-12-20,1814,MONTHLY,1997,12,20,,,,,,,,1411,1171,DISPONENT,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,37380.27037037037,54,7352.583333333333,,54,27,27,1 days 00:00:00.000000000,7893.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1574,790218,18,1979,18,2,M,20,20,1574,1301,OWNER,18,POPLATEK MESICNE,1994-09-15,622,MONTHLY,1994,09,15,,,,,,,,1574,1301,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,22532.910526315773,133,3578.327067669169,8.0,125,65,68,1 days 00:00:00.000000000,,,,,,,,,,,,,,,,,,,
14,1883,616027,18,1961,27,10,F,38,30,1883,1552,OWNER,18,POPLATEK MESICNE,1994-01-02,366,MONTHLY,1994,01,02,,,,,,,,1883,1552,OWNER,297.0,classic,1997-06-15,1626.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,58189.30860534127,337,9356.386943620184,56.0,281,121,216,1 days 00:00:00.000000000,6284.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1978,525522,18,1952,22,5,F,47,40,1978,1632,OWNER,18,POPLATEK TYDNE,1996-01-13,1107,WEEKLY,1996,01,13,,,,,,,,1978,1632,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,74616.44389140271,221,15866.535746606336,,221,106,115,1 days 00:00:00.000000000,1977.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2103,445204,18,1944,4,2,F,55,50,2103,1733,OWNER,18,POPLATEK MESICNE,1996-04-20,1205,MONTHLY,1996,04,20,,,,,,,,2103,1733,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,47322.86832298131,161,12202.479503105596,,161,66,95,1 days 00:00:00.000000000,8934.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2139,325306,18,1932,6,3,F,67,60,2139,1765,OWNER,18,POPLATEK MESICNE,1996-07-21,1297,MONTHLY,1996,07,21,,,,,,,,2139,1765,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,17174.836690647477,139,2074.812230215828,,139,56,83,1 days 00:00:00.000000000,2011.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2140,261018,18,1926,18,10,M,73,70,2140,1765,DISPONENT,18,POPLATEK MESICNE,1996-07-21,1297,MONTHLY,1996,07,21,,,,,,,,2140,1765,DISPONENT,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,17174.836690647477,139,2074.812230215828,,139,56,83,1 days 00:00:00.000000000,2011.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2176,460716,18,1946,16,7,M,53,50,2176,1796,OWNER,18,POPLATEK MESICNE,1995-10-14,1016,MONTHLY,1995,10,14,,,,,,,,2176,1796,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,46918.010236220565,254,6389.304724409451,,254,77,177,1 days 00:00:00.000000000,3037.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2329,730102,18,1973,2,1,M,26,20,2329,1919,OWNER,18,POPLATEK MESICNE,1994-12-04,702,MONTHLY,1994,12,04,,,,,,,,2329,1919,OWNER,364.0,classic,1996-02-29,1154.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,78237.63633633628,333,7975.846546546553,3.0,330,110,223,1 days 00:00:00.000000000,4887.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2517,240909,18,1924,9,9,M,75,70,2517,2076,OWNER,18,POPLATEK MESICNE,1996-09-17,1355,MONTHLY,1996,09,17,,,,,,,,2517,2076,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,20139.509150326794,153,2114.7849673202613,,153,52,101,1 days 00:00:00.000000000,2052.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2518,215507,18,1921,7,5,F,78,70,2518,2076,DISPONENT,18,POPLATEK MESICNE,1996-09-17,1355,MONTHLY,1996,09,17,,,,,,,,2518,2076,DISPONENT,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,20139.509150326794,153,2114.7849673202613,,153,52,101,1 days 00:00:00.000000000,2052.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2631,700521,18,1970,21,5,M,29,20,2631,2174,OWNER,18,POPLATEK MESICNE,1997-10-24,1757,MONTHLY,1997,10,24,,,,,,,,2631,2174,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,42112.42222222221,54,7810.933333333332,,54,24,30,1 days 00:00:00.000000000,4367.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2632,635225,18,1963,25,2,F,36,30,2632,2174,DISPONENT,18,POPLATEK MESICNE,1997-10-24,1757,MONTHLY,1997,10,24,,,,,,,,2632,2174,DISPONENT,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,42112.42222222221,54,7810.933333333332,,54,24,30,1 days 00:00:00.000000000,4367.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2794,650122,18,1965,22,1,M,34,30,2794,2309,OWNER,18,POPLATEK MESICNE,1995-12-03,1066,MONTHLY,1995,12,03,,,,,,,,2794,2309,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,30166.59014778327,203,6593.458128078819,,203,76,127,1 days 00:00:00.000000000,8604.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2795,685413,18,1968,13,4,F,31,30,2795,2309,DISPONENT,18,POPLATEK MESICNE,1995-12-03,1066,MONTHLY,1995,12,03,,,,,,,,2795,2309,DISPONENT,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,30166.59014778327,203,6593.458128078819,,203,76,127,1 days 00:00:00.000000000,8604.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2841,735410,18,1973,10,4,F,26,20,2841,2350,OWNER,18,POPLATEK MESICNE,1996-08-04,1311,MONTHLY,1996,08,04,5451.0,1997-05-11,159744.0,48.0,3328.0,C,1591.0,2841,2350,OWNER,446.0,classic,1998-06-04,1980.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,51807.72261306527,199,11007.917587939699,,199,71,128,1 days 00:00:00.000000000,9166.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2900,230322,18,1923,22,3,M,76,70,2900,2402,OWNER,18,POPLATEK MESICNE,1997-11-06,1770,MONTHLY,1997,11,06,,,,,,,,2900,2402,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,32643.70350877192,57,2692.1017543859657,,57,29,28,1 days 00:00:00.000000000,2384.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2924,415206,18,1941,6,2,F,58,50,2924,2421,OWNER,18,POPLATEK MESICNE,1995-01-11,740,MONTHLY,1995,01,11,,,,,,,,2924,2421,OWNER,455.0,classic,1998-11-13,2142.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,34251.52688172043,279,1031.1888888888893,,279,91,188,1 days 00:00:00.000000000,2127.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2925,470908,18,1947,8,9,M,52,50,2925,2421,DISPONENT,18,POPLATEK MESICNE,1995-01-11,740,MONTHLY,1995,01,11,,,,,,,,2925,2421,DISPONENT,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,34251.52688172043,279,1031.1888888888893,,279,91,188,1 days 00:00:00.000000000,2127.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2994,630722,18,1963,22,7,M,36,30,2994,2479,OWNER,18,POPLATEK MESICNE,1993-10-09,281,MONTHLY,1993,10,09,,,,,,,,2994,2479,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,20207.958086560317,439,1982.0776765375833,93.0,346,137,302,1 days 00:00:00.000000000,3991.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,3042,685214,18,1968,14,2,F,31,30,3042,2520,OWNER,18,POPLATEK MESICNE,1995-07-25,935,MONTHLY,1995,07,25,,,,,,,,3042,2520,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,17443.744845360812,194,1587.2268041237107,,194,86,108,1 days 00:00:00.000000000,2355.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,3182,255422,18,1925,22,4,F,74,70,3182,2636,OWNER,18,POPLATEK MESICNE,1996-11-26,1425,MONTHLY,1996,11,26,,,,,,,,3182,2636,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,17994.050476190478,105,2173.416190476192,,105,47,58,1 days 00:00:00.000000000,3254.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,3292,400121,18,1940,21,1,M,59,50,3292,2726,OWNER,18,POPLATEK MESICNE,1995-04-20,839,MONTHLY,1995,04,20,,,,,,,,3292,2726,OWNER,518.0,gold,1998-02-10,1866.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,61960.212890625,256,8325.981640625007,,256,90,166,1 days 00:00:00.000000000,5297.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,3396,775303,18,1977,3,3,F,22,20,3396,2812,OWNER,18,POPLATEK MESICNE,1996-07-05,1281,MONTHLY,1996,07,05,,,,,,,,3396,2812,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,27631.56903225806,155,9976.306451612907,,155,61,94,1 days 00:00:00.000000000,8211.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,3607,465729,18,1946,29,7,F,53,50,3607,2987,OWNER,18,POPLATEK MESICNE,1993-09-16,258,MONTHLY,1993,09,16,,,,,,,,3607,2987,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,45125.915877437306,359,8847.26183844012,73.0,286,127,232,1 days 00:00:00.000000000,5569.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,3627,815608,18,1981,8,6,F,18,10,3627,3003,OWNER,18,POPLATEK MESICNE,1993-11-27,330,MONTHLY,1993,11,27,,,,,,,,3627,3003,OWNER,571.0,junior,1998-07-13,2019.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,52129.216315789454,190,3694.999999999997,26.0,164,101,89,1 days 00:00:00.000000000,,,,,,,,,,,,,,,,,,,
38,3691,650417,18,1965,17,4,M,34,30,3691,3053,OWNER,11,POPLATEK MESICNE,1993-08-23,234,MONTHLY,1993,08,23,,,,,,,,3691,3053,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,44856.1221198156,434,4121.602304147469,91.0,343,141,293,1 days 00:00:00.000000000,7465.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,3723,680901,18,1968,1,9,M,31,30,3723,3079,OWNER,18,POPLATEK MESICNE,1996-02-26,1151,MONTHLY,1996,02,26,,,,,,,,3723,3079,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18251.846285714302,175,1266.4805714285721,,175,65,110,1 days 00:00:00.000000000,2299.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,3735,380117,18,1938,17,1,M,61,60,3735,3088,OWNER,18,POPLATEK MESICNE,1996-03-08,1162,MONTHLY,1996,03,08,,,,,,,,3735,3088,OWNER,583.0,classic,1997-04-24,1574.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,41204.18486486484,185,8608.44540540541,,185,68,117,1 days 00:00:00.000000000,5866.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,3736,325722,18,1932,22,7,F,67,60,3736,3088,DISPONENT,18,POPLATEK MESICNE,1996-03-08,1162,MONTHLY,1996,03,08,,,,,,,,3736,3088,DISPONENT,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,41204.18486486484,185,8608.44540540541,,185,68,117,1 days 00:00:00.000000000,5866.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,3760,550104,18,1955,4,1,M,44,40,3760,3109,OWNER,18,POPLATEK MESICNE,1995-04-08,827,MONTHLY,1995,04,08,,,,,,,,3760,3109,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,25830.047881355928,236,7236.466949152544,,236,104,132,1 days 00:00:00.000000000,,,,,,,,,,,,,,,,,,,
43,3830,685224,18,1968,24,2,F,31,30,3830,3167,OWNER,18,POPLATEK MESICNE,1994-08-08,584,MONTHLY,1994,08,08,,,,,,,,3830,3167,OWNER,601.0,classic,1996-10-08,1376.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,55531.841338582664,254,9178.2909448819,13.0,241,106,148,1 days 00:00:00.000000000,,,,,,,,,,,,,,,,,,,
44,3858,485614,18,1948,14,6,F,51,50,3858,3192,OWNER,18,POPLATEK MESICNE,1996-07-28,1304,MONTHLY,1996,07,28,,,,,,,,3858,3192,OWNER,604.0,classic,1998-11-04,2133.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,39171.63645833331,192,3437.9302083333314,,192,68,124,1 days 00:00:00.000000000,3790.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,3859,410503,18,1941,3,5,M,58,50,3859,3192,DISPONENT,18,POPLATEK MESICNE,1996-07-28,1304,MONTHLY,1996,07,28,,,,,,,,3859,3192,DISPONENT,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,39171.63645833331,192,3437.9302083333314,,192,68,124,1 days 00:00:00.000000000,3790.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,3883,650927,18,1965,27,9,M,34,30,3883,3210,OWNER,1,POPLATEK MESICNE,1993-05-17,136,MONTHLY,1993,05,17,,,,,,,,3883,3210,OWNER,606.0,classic,1996-01-22,1116.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,41166.74611111112,360,9892.191666666678,100.0,260,136,224,1 days 00:00:00.000000000,7388.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,3967,605926,18,1960,26,9,F,39,30,3967,3277,OWNER,36,POPLATEK MESICNE,1993-07-12,192,MONTHLY,1993,07,12,,,,,,,,3967,3277,OWNER,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,40593.2311178248,331,7139.640181268892,84.0,247,134,197,1 days 00:00:00.000000000,,,,,,,,,,,,,,,,,,,
48,3968,550615,18,1955,15,6,M,44,40,3968,3277,DISPONENT,36,POPLATEK MESICNE,1993-07-12,192,MONTHLY,1993,07,12,,,,,,,,3968,3277,DISPONENT,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,40593.2311178248,331,7139.640181268892,84.0,247,134,197,1 days 00:00:00.000000000,,,,,,,,,,,,,,,,,,,
